,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
GE,0.64,0.82,0.27,0.64,0.45,0.36,0.27,0.64,0.45,0.18,0.0,0.45,0.55,0.27,0.45,0.55,0.27,0.45,0.55,0.36,0.55,0.55,0.91,0.55,0.36,0.64,0.27,0.55,0.73,0.55
GS,0.64,0.64,0.45,0.45,0.27,0.91,0.64,0.45,0.64,0.73,0.45,0.0,0.55,0.64,0.45,0.55,0.82,0.64,0.73,0.55,0.55,0.55,0.36,0.55,0.55,0.45,0.64,0.36,0.55,0.36
HD,0.55,0.55,0.73,0.36,0.55,0.64,0.55,0.55,0.55,0.45,0.55,0.55,0.0,0.55,0.36,0.82,0.55,0.55,0.64,0.27,0.64,0.45,0.45,0.45,0.45,0.36,0.36,0.27,0.45,0.64
IBM,0.64,0.45,0.82,0.45,0.64,0.73,0.64,0.45,0.64,0.73,0.27,0.64,0.55,0.0,0.64,0.55,0.64,0.64,0.73,0.55,0.55,0.55,0.36,0.55,0.73,0.45,0.82,0.73,0.36,0.55
INTC,0.64,0.45,0.64,0.45,0.64,0.36,0.64,0.64,0.45,0.36,0.45,0.45,0.36,0.64,0.0,0.55,0.64,0.27,0.55,0.91,0.73,0.73,0.55,0.36,0.91,0.45,0.64,0.73,0.36,0.73
JNJ,0.73,0.55,0.73,0.36,0.55,0.45,0.55,0.73,0.55,0.27,0.55,0.55,0.82,0.55,0.55,0.0,0.73,0.55,0.82,0.45,0.82,0.64,0.45,0.45,0.64,0.36,0.55,0.27,0.45,0.82
JPM,0.64,0.45,0.64,0.45,0.45,0.73,0.64,0.64,0.64,0.55,0.27,0.82,0.55,0.64,0.64,0.73,0.0,0.64,0.73,0.73,0.73,0.73,0.18,0.55,0.73,0.45,0.64,0.36,0.36,0.55
MCD,0.64,0.64,0.64,0.82,0.45,0.73,0.27,0.45,0.64,0.55,0.45,0.64,0.55,0.64,0.27,0.55,0.64,0.0,0.73,0.36,0.55,0.55,0.36,0.73,0.36,0.82,0.45,0.55,0.55,0.36
MRK,0.91,0.73,0.73,0.55,0.36,0.64,0.55,0.55,0.55,0.45,0.55,0.73,0.64,0.73,0.55,0.82,0.73,0.73,0.0,0.45,0.82,0.64,0.45,0.45,0.64,0.55,0.73,0.45,0.45,0.64
MSFT,0.55,0.36,0.55,0.55,0.55,0.45,0.55,0.55,0.55,0.45,0.36,0.55,0.27,0.55,0.91,0.45,0.73,0.36,0.45,0.0,0.64,0.64,0.45,0.45,0.82,0.55,0.55,0.64,0.45,0.64
NKE,0.91,0.55,0.73,0.55,0.36,0.45,0.55,0.55,0.55,0.27,0.55,0.55,0.64,0.55,0.73,0.82,0.73,0.55,0.82,0.64,0.0,0.64,0.45,0.27,0.64,0.55,0.55,0.45,0.27,0.82
PFE,0.55,0.73,0.55,0.55,0.73,0.45,0.55,0.91,0.36,0.27,0.55,0.55,0.45,0.55,0.73,0.64,0.73,0.55,0.64,0.64,0.64,0.0,0.45,0.64,0.82,0.55,0.55,0.64,0.45,0.45
PG,0.55,0.73,0.36,0.55,0.55,0.27,0.36,0.55,0.36,0.27,0.91,0.36,0.45,0.36,0.55,0.45,0.18,0.36,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.55,0.36,0.64,0.82,0.64
TRV,0.36,0.55,0.36,0.73,0.73,0.64,0.18,0.73,0.73,0.45,0.55,0.55,0.45,0.55,0.36,0.45,0.55,0.73,0.45,0.45,0.27,0.64,0.45,0.0,0.45,0.73,0.36,0.64,0.64,0.27
UNH,0.55,0.55,0.73,0.36,0.73,0.45,0.73,0.73,0.36,0.45,0.36,0.55,0.45,0.73,0.91,0.64,0.73,0.36,0.64,0.82,0.64,0.82,0.45,0.45,0.0,0.36,0.73,0.64,0.45,0.64
UTX,0.64,0.64,0.45,1.0,0.45,0.55,0.09,0.45,0.64,0.36,0.64,0.45,0.36,0.45,0.45,0.36,0.45,0.82,0.55,0.55,0.55,0.55,0.55,0.73,0.36,0.0,0.27,0.73,0.55,0.36
VZ,0.64,0.45,0.64,0.27,0.45,0.55,0.82,0.45,0.45,0.73,0.27,0.64,0.36,0.82,0.64,0.55,0.64,0.45,0.73,0.55,0.55,0.55,0.36,0.36,0.73,0.27,0.0,0.55,0.36,0.55
V,0.55,0.55,0.55,0.73,0.73,0.45,0.36,0.55,0.55,0.45,0.55,0.36,0.27,0.73,0.73,0.27,0.36,0.55,0.45,0.64,0.45,0.64,0.64,0.64,0.64,0.73,0.55,0.0,0.45,0.45
WMT,0.36,0.73,0.36,0.55,0.55,0.45,0.36,0.55,0.36,0.45,0.73,0.55,0.45,0.36,0.36,0.45,0.36,0.55,0.45,0.45,0.27,0.45,0.82,0.64,0.45,0.55,0.36,0.45,0.0,0.45
DIS,0.73,0.36,0.73,0.36,0.55,0.27,0.55,0.55,0.55,0.27,0.55,0.36,0.64,0.55,0.73,0.82,0.55,0.36,0.64,0.64,0.82,0.45,0.64,0.27,0.64,0.36,0.55,0.45,0.45,0.0
