,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
MMM,0.0,0.64,0.64,0.64,0.27,0.55,0.45,0.45,0.64,0.36,0.64,0.64,0.55,0.64,0.64,0.73,0.64,0.64,0.91,0.55,0.91,0.55,0.55,0.36,0.55,0.64,0.64,0.55,0.36,0.73
AXP,0.64,0.0,0.45,0.64,0.45,0.55,0.45,0.64,0.27,0.36,0.82,0.64,0.55,0.45,0.45,0.55,0.45,0.64,0.73,0.36,0.55,0.73,0.73,0.55,0.55,0.64,0.45,0.55,0.73,0.36
AAPL,0.64,0.45,0.0,0.45,0.64,0.55,0.64,0.45,0.45,0.55,0.27,0.45,0.73,0.82,0.64,0.73,0.64,0.64,0.73,0.55,0.73,0.55,0.36,0.36,0.73,0.45,0.64,0.55,0.36,0.73
BA,0.64,0.64,0.45,0.0,0.45,0.55,0.09,0.45,0.64,0.36,0.64,0.45,0.36,0.45,0.45,0.36,0.45,0.82,0.55,0.55,0.55,0.55,0.55,0.73,0.36,1.0,0.27,0.73,0.55,0.36
CAT,0.27,0.45,0.64,0.45,0.0,0.36,0.45,0.82,0.45,0.36,0.45,0.27,0.55,0.64,0.64,0.55,0.45,0.45,0.36,0.55,0.36,0.73,0.55,0.73,0.73,0.45,0.45,0.73,0.55,0.55
CVX,0.55,0.55,0.55,0.55,0.36,0.0,0.55,0.36,0.73,0.82,0.36,0.91,0.64,0.73,0.36,0.45,0.73,0.73,0.64,0.45,0.45,0.45,0.27,0.64,0.45,0.55,0.55,0.45,0.45,0.27
CSCO,0.45,0.45,0.64,0.09,0.45,0.55,0.0,0.45,0.27,0.73,0.27,0.64,0.55,0.64,0.64,0.55,0.64,0.27,0.55,0.55,0.55,0.55,0.36,0.18,0.73,0.09,0.82,0.36,0.36,0.55
KO,0.45,0.64,0.45,0.45,0.82,0.36,0.45,0.0,0.45,0.18,0.64,0.45,0.55,0.45,0.64,0.73,0.64,0.45,0.55,0.55,0.55,0.91,0.55,0.73,0.73,0.45,0.45,0.55,0.55,0.55
DD,0.64,0.27,0.45,0.64,0.45,0.73,0.27,0.45,0.0,0.55,0.45,0.64,0.55,0.64,0.45,0.55,0.64,0.64,0.55,0.55,0.55,0.36,0.36,0.73,0.36,0.64,0.45,0.55,0.36,0.55
XOM,0.36,0.36,0.55,0.36,0.36,0.82,0.73,0.18,0.55,0.0,0.18,0.73,0.45,0.73,0.36,0.27,0.55,0.55,0.45,0.45,0.27,0.27,0.27,0.45,0.45,0.36,0.73,0.45,0.45,0.27
